288 clips planned
  [20/288] item00_ng_m_Fenrir  (spend $8.0761)
  [40/288] item01_in_f_Aoede  (spend $8.2174)
  [60/288] item02_uk_f_Zephyr  (spend $8.3574)
  [80/288] item03_uk_m_Fenrir  (spend $8.4975)
  [100/288] item04_us_f_Aoede  (spend $8.6343)
  [120/288] item04_ng_f_Zephyr  (spend $8.7825)
  [140/288] item05_ng_m_Fenrir  (spend $8.9174)
  [160/288] item06_in_f_Aoede  (spend $9.0513)
  [180/288] item07_uk_f_Zephyr  (spend $9.1847)
  [200/288] item08_uk_m_Fenrir  (spend $9.3069)
  [220/288] item09_us_f_Aoede  (spend $9.4202)
  [240/288] item09_ng_f_Zephyr  (spend $9.5525)
  [260/288] item10_ng_m_Fenrir  (spend $9.6660)
  [280/288] item11_in_f_Aoede  (spend $9.7998)
  [288/288] item11_ng_f_Zephyr  (spend $9.8576)
multivoice clips complete: 288/288
